ID,Title,Description,ISBN,ISBN13,PageCount,FirstAuthor,SecondAuthor,ThirdAuthor,Rating,NumberofRatings,NumberofReviews,Publisher,PublishDate,Format,Language,FileName
820,Bluejacket: An Autobiography,A graphic memoir of the enlisted man's life in the U.S. Navy of the 1890s.,0870211900,9780870211904,368,Fred J. Buenzle,A. Grove Day,Neville T. Kirk,4.00,3,0,US Naval Institute Press,August 1st 1986,Hardcover,English,1727-356833.Bluejacket.html
821,Autobiography of a Poodle, ,, ,110,Con Slobodchikoff, , ,4.67,3,1,Argo-Navis,August 1st 2012,Kindle Edition,English,1728-20566394-autobiography-of-a-poodle.html
822,The Autobiography Of Leisure,"This long-awaited debut novella from neo-legendary sub-surface poetess Narco Pastel marks the first attempt to translate the party into a literary medium. As a pioneering entry into the Party Novel genre, The Autobiography of Leisure is designed to be digested socially, doused in a communal energy, and enjoyed with a healthy suspension of objectivity. Pastel's offering highlights the abject boredom of Modernity and attempts to replace it with an evolved dialect that centers on the importance of perpetual amusement. Contemporary society would be well-advised to heed Pastel's morality tale of secular monastic hedonism or risk asphyxiation by spectacle. Well before its official print release The Autobiography of Leisure became the first book to be banned on the internet, as the volatility of its content and subsequent response offended the Google Documents user agreement - the platform upon which the book was initially composed and distributed.",, ,108,Narco Pastel, , ,5.00,2,0,Lulu,2011,Paperback,English,1729-18045429-the-autobiography-of-leisure.html
823,The Long Haul: An Autobiography,"In his own direct, modest, plain-spoken style, Myles Horton tells the story of the Highlander Folk School. A major catalyst for social change in the United States for more than sixty years, this school has touched the lives of so many people, Martin Luther King, Jr., Rosa Parks, Eleanor Roosevelt, and Pete Seeger. Filled with disarmingly honest insight and gentle humor, this is an inspiring hymn to the possibility of social change.",0807737003,9780807737002,167,Myles Horton,Herbert R. Kohl,Judith Kohl,4.33,366,48,Teachers College Press,July 2nd 1997,Paperback,English,173-200275.The_Long_Haul.html
824,My Autobiography, ,0316647284,9780316647281,256,Teddy Sheringham, , ,3.67,3,1,Littl,October 15th 1998,Hardcover, ,1730-9886240-my-autobiography.html
825,"Living My Life, Vol. 1: Autobiography: 001","Anarchist, journalist, drama critic, advocate of birth control and free love, Emma Goldman was the most famousand notoriouswoman in the early twentieth century. This abridged version of her two-volume autobiography takes her from her birthplace in czarist Russia to the socialist enclaves of Manhattan's Lower East Side. Against a dramatic backdrop of political argument, show trials, imprisonment, and tempestuous romances, Goldman chronicles the epoch that she helped shape: the reform movements of the Progressive Era, the early years of and later disillusionment with Lenin's Bolshevik experiment, and more. Sounding a call still heard today, Living My Life is a riveting account of political ferment and ideological turbulence.",, ,529,Emma Goldman, , ,4.32,435,28,Dover Publications,October 11th 2012,Kindle Edition,English,1731-19618019-living-my-life-vol-1.html
826,The Autobiography of a Seventeenth-Century Venetian Rabbi: Leon Modena's Life of Judah,"Leon (Judah Aryeh) Modena was a major intellectual figure of the early modern Italian Jewish community--a complex and intriguing personality who was famous among contemporary European Christians as well as Jews. Modena (1571-1648) produced an autobiography that documents in poignant detail the turbulent life of his family in the Jewish ghetto of Venice. The text of this work is well known to Jewish scholars but has never before been translated from the original Hebrew, except in brief excerpts. This complete translation, based on Modena's autograph manuscript, makes available in English a wealth of historical material about Jewish family life of the period, religion in daily life, the plague of 1630-1631, crime and punishment, the influence of kabbalistic mysticism, and a host of other subjects. The translator, Mark R. Cohen, and four other distinguished scholars add commentary that places the work in historical and literary context. Modena describes his fascination with the astrology and alchemy that were important parts of the Jewish and general culture of the seventeenth century. He also portrays his struggle against poverty and against compulsive gambling, which, cleverly punning on a biblical verse, he called the ""sin of Judah."" In addition, the book contains accounts of Modena's sorrow over his three sons: the death of the eldest from the poisonous fumes of his own alchemical laboratory, the brutal murder of the youngest, and the exile of the remaining son. The introductory essay by Mark R. Cohen and Theodore K. Rabb highlights the significance of the work for early modern Jewish and general European history. Howard E. Adelman presents an up-to-date biographical sketch of the author and points the way toward a new assessment of his place in Jewish history. Natalie Z. Davis places Modena's work in the context of European autobiography, both Christian and Jewish, and especially explores the implications of the Jewish status as outsider for the privileged exploration of the self. A set of historical notes, compiled by Howard Adelman and Benjamin C. I. Ravid, elucidates the text.",0691008248,9780691008240,336,Leone Modena, , ,3.36,25,3,Princeton University Press,September 21st 1988,Paperback,English,1732-731741.The_Autobiography_of_a_Seventeenth_Century_Venetian_Rabbi.html
827,The Autobiography of Abbie Hoffman,"The Autobiography of Abbie Hoffman tells the story of one of America's most influential and imaginative dissidents, a major figure in the 1960s counterculture and anti-war movement who remained a dedicated political organizer right up until his death in 1989. With his unique brand of humor, wit, and energetic narrative, Abbie Hoffman describes the history of his times and provides a first-hand account of such memorable actions as the ""levitation"" of the Pentagon, the dropping of dollar bills onto the New York Stock Exchange floor, and the Chicago 8 Trial, which followed the demonstrations at the 1968 Democratic Convention, as well as his friendships with Jerry Rubin, Bobby Seale, Allen Ginsberg, and many others. Originally published in 1980 as Soon to Be a Major Motion Picture, this memoir has been out of print for nearly 10 years. This edition includes a new selection of photographs chosen by his widow, Johanna Lawrenson, as well as a new afterword by Howard Zinn celebrating Hoffman's enduring activist legacy.",1568581971,9781568581972,328,Abbie Hoffman,Howard Zinn,Norman Mailer,3.98,299,28,Da Capo Press,November 30th 2000,Paperback,English,1733-335320.The_Autobiography_of_Abbie_Hoffman.html
828,Apprenticed to a Himalayan Master A Yogi s Autobiography, ,, ,0,Shri M, , ,4.00,6,0, , , , ,1734-20652018-apprenticed-to-a-himalayan-master-a-yogi-s-autobiography.html
829,Mean on Sunday (Rev): The Autobiography of Ray Nitschke,"This is Nitschke's own story, from his underprivileged boyhood in Chicago, through his playing days at the University of Illinois, and culminating with his extraordinary 15-year career with the Packers. An entertaining and inspirational story.",1879483548,9781879483545,320,Robert Wells,Robert W. Wells, ,3.70,20,2,Prairie Oak Press,October 1st 1998,Paperback,English,1735-1564496.Mean_on_Sunday_Rev_.html
830,"Exile's Odyssey (Autobiography, #2: 1937-1960)","""Here finally are Eliade's memoirs of the first thirty years of his life in Mac Linscott Rickett's crisp and lucid English translation. They present a fascinating account of the early development of a Renaissance talent, expressed in everything from daily and periodical journalism, realistic and fantastic fiction, and general nonfiction works to distinguished contributions to the history of religions. Autobiography follows an apparently amazingly candid report of this remarkable man's progression from a mischievous street urchin and literary prodigy, through his various love affairs, a decisive and traumatic Indian sojourn, and active, brilliant participation in pre-World War II Romanian cultural life.""—Seymour Cain, Religious Studies Review",, ,248,Mircea Eliade,Mac L. Ricketts, ,4.40,15,2,University of Chicago Press,July 18th 1988,Hardcover,English,1736-314974.Exile_s_Odyssey.html
831,Song of Rita Joe: Autobiography of a Mi'kmaq Poet,"Here is the enlightening story of an esteemed and eloquent Mi’kmaq woman whose message of “gentle persuasion” has enriched the life of a nation.Rita Joe is celebrated as a poet, an educator, and an ambassador. In 1989, she accepted the Order of Canada “on behalf of native people across the nation.” In this spirit she tells her story and, by her example, illustrates the experiences of an entire generation of aboriginal women in Canada. Song of Rita Joe is the story of Joe’s remarkable life: her education in an Indian residential school, her turbulent marriage, and the daily struggles within her family and community. It is the story of how Joe’s battles with racism, sexism, poverty, and personal demons became the catalyst for her first poems and allowed her to reclaim her aboriginal heritage. Today, her story continues: as she moves into old age, Joe writes that her lifelong spiritual quest is ever deepening.",0803275943,9780803275942,199,Rita Joe, , ,3.43,14,2,University of Nebraska Press,May 28th 1996,Paperback,English,1737-2157980.Song_of_Rita_Joe.html
832,Between Two Worlds: Autobiography of a Child Survivor of the Holocaust,"My autobiography, going from birth to age about 15 and my experiences before and during WW II and the Holocaust.",1564741265,9781564741264,203,R. Gabriele S. Silten, , ,4.00,4,1,Fithian Press,December 1st 1995,Paperback,English,1738-867068.Between_Two_Worlds.html
833,"Netaji: Collected Works: Volume 1: An Indian Pilgrim: An Unfinished Autobiography (Netaji : Collected Works, Vol 1)",This autobiography evokes the socio-cultural environment in which Subhas Chandra Bose grew up and the lineaments of his intellectual development.,0195641485,9780195641486,308,Subhas Chandra Bose,Sisir Kumar Bose,Sugata Bose,4.52,21,0,Oxford University Pres,January 8th 1998,Paperback,English,1739-5923362-netaji.html
834,Satan: An Autobiography,"It’s said that the greatest trick the Devil ever pulled was in convincing the world that he doesn’t exist. In his latest book, Yehuda Berg uses the device of an “as told to” autobiography to explain the notion of The Adversary, an important concept in Kabbalistic wisdom. Through this playful yet serious faux-bio, readers learn that Satan resides within everyone, manifesting himself as that nagging little voice of doubt and uncertainty, and that that's how havoc is wreaked throughout the world. By doing the spiritual work that Kabbalah teaches, readers can banish negativity and evil influences from their lives, and eliminate chaos from the world. Berg takes creative license with the narrative, but he presents an accurate representation of Kabbalah’s view on the force of evil in the physical universe.",1571896104,9781571896100,256,Yehuda Berg, , ,4.21,157,21,Kabbalah Publishing,March 31st 2009,Hardcover,English,174-6261030-satan.html
835,To hell and back: the autobiography,"""Stories are like legal tender in Texas; the stranger the better. It's not that people in Texas are particularly morbid or anything. It's just that they love stories, and the best stories naturally have some bizarre aspect to them."" That's Meat's summation of his home state, and a read of To Hell And Back proves he's a Dallas boy through and through. It's fantastic to report that this is the huge, bombastic rags-to-riches-back-to-rags-back-to-riches tale that it really should be, with Meat coming across as a thoroughly charismatic madman--with thanks, no doubt, to the homely style and incisive editing of ghostwriter David Dalton. The gothic-styled To Hell And Back is replete with tales of fingerless drummers, arms-dealing managers and perpetually overdosing lead guitarists, and while Meat seems slightly horrified by his own excesses, even the doldrums are here in gory detail. ""I've blacked out the whole thing,"" says Meat, of laying Mum to rest, ""but apparently what I did at the funeral service was pull my mother out of the casket and say they couldn't have her. I actually lifted her into my arms, and people were horrified."" From the depths of cocaine psychosis, all paid for by the multi-million selling Bat Out Of Hell , Meat pulls back from the brink and when Bat Out Of Hell II makes him a superstar again, even the critics are onside. ""When Rolling Stone reviewed the concert in Madison Square Garden and gave us a rave, I nearly had a heart attack and died. I literally got dizzy, fainted"" explains Meat, proudly. Steady on, big guy--what they're saying about To Hell And Back might just spark off a full cardiac arrest. -- Louis Pattison",1852278803,9781852278809,285,David Dalton,Meat Loaf, ,3.92,239,33,Virgin,1999,Hardcover,English,1740-1876431.To_hell_and_back.html
836,My story: the autobiography of Olga Korbut, ,009923131X,9780099231318,168,Ellen Emerson White,Olga Korbut, ,3.83,6,0,Arrow Books,July 1st 1993, , ,1741-4476449-my-story.html
837,"The Autobiography of Cassandra, Princess & Prophetess of Troy", ,0890970130,9780890970133,129,Ursule Molinaro, , ,4.80,5,0,Archer Editions Press,1979,Unknown Binding,English,1742-971713.The_Autobiography_of_Cassandra_Princess_Prophetess_of_Troy.html
838,"Interfaces: Women, Autobiography, Image, Performance","Modern and contemporary women's artistic production of autobiography frequently occurs at the interfaces of image and text. The many permutations of words and images in all their modes of production--photograph, pose, invocation, written narrative, sculpture, dance, diatribe--create countless possibilities of expression, and this volume charts some of the ways in which women artists are seizing these possibilities.Editors Sidonie Smith and Julia Watson have been at the vanguard of the study of women's self-representation, and here have collected leading critics' and scholars' thoughts on artistic fusions of the visual and autobiographical. Marianne Hirsch, Linda Hutcheon, Linda Kauffman, Nellie McKay, Marjorie Perloff, Lee Quinby, and the other contributors offer new insights into the work of such artists as Laurie Anderson, Judy Chicago, Frida Kahlo, Orlan, and Cindy Sherman. From a painter's diary to a performance artist's ritualized enactments of kitchen domesticity, the many narratives of the self arising from these artists' negotiations of the visual and textual prove to be goldmines for analysis.Art historians, artists, critics, literary scholars in women's studies, and anyone interested in the forms and implications of depicting the self will enjoy this richly illustrated collection.Sidonie Smith is Professor of English, University of Michigan. Julia Watson is Associate Professor of Comparative Studies, The Ohio State University. They also edited Reading Autobiography: A Guide for Interpreting Life Narratives and Women, Autobiography, Theory: A Reader.",0472068148,9780472068142,496,Sidonie Smith,Julia   Watson,Julia Anne Watson,3.50,4,1,University of Michigan Press,December 20th 2002,Paperback,English,1743-1039962.Interfaces.html
839,The Life of St. Teresa of Jesus: Autobiography,"Teresa of Avila, also called Saint Teresa of Jesus, baptized as Teresa Sanchez de Cepeda y Ahumada, (March 28, 1515 - October 4, 1582) was a prominent Spanish mystic, Roman Catholic saint, Carmelite nun, writer of the Counter Reformation, and theologian of contemplative life through mental prayer. She was a reformer of the Carmelite Order and is considered to be a founder of the Discalced Carmelites along with John of the Cross. In 1622, forty years after her death, she was canonized by Pope Gregory XV and was in 1970 named a Doctor of the Church by Pope Paul VI. Her books, which include her autobiography (The Life of Teresa of Jesus) and her seminal work El Castillo Interior (The Interior Castle) are an integral part of Spanish Renaissance literature as well as Christian mysticism and Christian meditation practices as she entails in her other important work, Camino de Perfeccion (The Way of Perfection). Readers interested in basic Christian mysticism need look no further than Saint Teresa of Avila. Theresa expresses in beautiful language her deep relationship with God, and her words of wisdom and ever-hopeful outlook have inspired Christians everywhere for centuries. The Spanish Carmelite nun's autobiography provides a perfect entrance point to the world of mental prayer. She begins her story with tales of her childhood in the early 1500s--the death of her mother, how she became a nun, and the hardships of her life including illness and a period of ""lukewarmness"" during which she ceased to pray. St. Teresa also relates the visiosn and instructions she recieved form God later in her life. This book also contains St. Teresa's writings on the four states of mental prayer. In the first stage, believers learn to pray. In the second, they experience the supernatural aspect of prayer. In the third, the soul is bathed inthe pleasure of God's presence, and in the fourth, senses are abandonded in a sort of out-of-body experience where the sould feels only divine union. This book also contains a series of ""relations,"" letters she send to colleagues giving further thoughts of her beliefs. St. Teresa's warm and personal descriptions of union with God provide a wonderful and accessible starting point for engagement in her life and theology of mysticism.",1783362480,9781783362486,372,Teresa of Jesus, , ,3.60,5,1,Limovia.Net,June 4th 2013,Paperback, ,1744-18843091-the-life-of-st-teresa-of-jesus.html
840,Too Rich and Too Thin: Not an Autobiography,"Pack your bags for Texas and prepare to meet the strangest family since that little Chainsaw Massacre incident. Psychologist Jessica LeFave will be your guide, but be forewarned, Dr. LeFave isn't your average shrink, and though her wisecracking lawyer buddy, will try to keep Jessica out of trouble, he might not be able to save you, or himself. Your journey opens when Jessica is summoned to profile the killer who drove a spike through the heart of the notorious Bernice Jackson. Jessica is more than a little excited. Not because Bernice Jackson is dead, but because Bernicewho'd soared to fame and wealth by shamelessly re-writing treasured historical events into wildly successful soft-porn novels and movieswas a psychiatry patient of her husband's at the time of his death. You see, Jessica is convinced her husband was murdered to bury a secret revealed in therapy. Since watching him dragged from the bottom of Lake Austina Hilton receipt and another woman's wedding rings in hi",1590806417,9781590806418,372,Barbara DeShong, , ,2.89,9,4,Echelon Press Publishing,September 1st 2009,Paperback,English,1745-6979102-too-rich-and-too-thin.html
841,Versions of Deconversion: Autobiography and the Loss of Faith,"In Versions of Deconversion John Barbour examines the work of a broad selection of authors in order to discover the reasons for their loss of faith and to analyze the ways in which they have interpreted that loss. For some the experience of deconversion led to another religious faith, some turned to atheism or agnosticism, and others used deconversion as a metaphor or analogy to interpret an experience of personal transformation. The loss of faith is closely related to such vital ethical and theological concerns as the role of conscience, the assessment of religious communities, the dialectical relationship between faith and doubt, and the struggle to reconcile faith with intellectual and moral integrity. This book shows the persistence and the vitality of the theme of deconversion in autobiography, and it demonstrates how the literary form and structure of autobiography are shaped by ethical critique and religious reflection. Versions of Deconversion should appeal at once to scholars in the fields of religious studies and theology who are concerned with narrative texts, to literary critics and specialists on autobiography, and to a wider audience interested in the ethical and religious significance of autobiography.",0813915465,9780813915463,238,John D. Barbour, , ,3.75,4,0,University of Virginia Press,October 29th 1994,Hardcover, ,1746-3493192-versions-of-deconversion.html
842,Miles Gone By: A Literary Autobiography,"Here is a unique collection of fifty years of essays chosen to form an unconventional autobiography and capstone to his remarkable career as the conservative writer par excellence. Included are essays that capture Buckley's joyful boyhood and family life; his years as a conservative firebrand at Yale; the life of a young army officer; his love of wine and sailing; memories of his favourite friends; the great influences of music and religion; a life in politics; and exploring the beauty, diversity, and exactitude of the English language",0895260042,9780895260048,594,William F. Buckley Jr., , ,4.15,280,36,Regnery Publishing,August 1st 2005,Paperback,English,1747-1536531.Miles_Gone_By.html
843,Russia Through Women's Eyes: Autobiographies from Tsarist Russia,"A collection presenting, in English, the lives of 11 Russian women from the 19th century, as told in their own words. Toby Clyman and Judith Vowles introduce and annotate each memoir, and they set the writings in the context of Russian and western autobiographical traditions.",0300067542,9780300067545,408,Toby W. Clyman,Toby W. Clyman, ,3.67,9,1,Yale University Press,March 11th 1999,Paperback,English,1748-1112893.Russia_Through_Women_s_Eyes.html
844,Journal of a Soul: The Autobiography of Pope John XXIII,"No other pope of this century has aroused so much interest and universal affection throughout the world as has Pope John XXIII. Journal of a Soul is an inspiring reading experience that records this pope's thoughts and traces his spiritual development from adolescence to the seminary to a career as a priest, a European papal diplomat, Patriarch of Venice, and finally Pope John XXIII. This Image Books edition features a biographical portrait of Pope John by his personal secretary, Monsignor Loris Capovilla. It also includes several of his most moving prayers, sixty brief thoughts and aphorisms, his ""Rules for the Ascetic Life,"" many of his letters, even his last will and testament. Christians everywhere will welcome the reissue of ""one of the most original, interesting, and inspiring revelations of intimate personal experiences ever written,"" which ""ranks well with the classic spiritual autobiographies"" ( Critic ). Journal of a Soul , the first ever such work from a Roman pontiff, opens new windows onto the soul of the man himself.",0385497547,9780385497541,544,Pope John XXIII, , ,4.29,185,10,Image,November 9th 1999,Paperback,English,1749-827109.Journal_of_a_Soul.html
845,The Kindness of Strangers: The Autobiography,"Kate Adie has courageously reported from all over the world since she joined the BBC in 1969. These memoirs encompass her reporting from, inter alia, Northern Ireland, the Middle East, Tiananmen Square and, of course, the Gulf War of 1991. From the siege at the Iranian embassy which shot her to public acclaim, to an alarming encounter with a drunken Libyan army commander who shot her at point-blank range, from the chaos and mayhem of desert warfare to Gracie Field's bizarre funeral, Kate has cooly kept us in touch through her reasoned and level reporting. Although an intensely private person, Kate Adie also divulges how, despite being sent to outlandish places at a moment's notice, she's maintained her interest in sailing, singing, and theatre, and what it's like to be a woman in a man's world.",075531073X,9780755310739,438,Kate Adie, , ,3.81,335,48,Headline Book Publishing,June 1st 2003,Paperback,English,175-117804.The_Kindness_of_Strangers.html
846,Ron Santo: For Love of Ivy - The Autobiography of Ron Santo,"Ron Santo has a remarkable story to tell, from the trauma of a serious illness to his fame as one of the greatest third basemen in the history of baseball.Loaded with untold stories about the greatest players ever to grace the game, and updated for seasons to come, this book will delight not only Cubs fans, but baseball fans everywhere.",0929387929,9780929387925,224,Ron Santo, , ,4.17,18,5,Bonus Books Inc,January 7th 2004,Hardcover, ,1750-3965542-ron-santo.html
847,The Girl Next Door--And How She Grew: An Autobiography,"One of MGM's most appealing and successful musical stars gives a revealing account of her life in the public limelight as ""The Girl Next Door""--an intimate portrait of a child studio star. Her peers, including Elizabeth Taylor, Judy Garland, and Debbie Reynolds, are brought to life.",0688067573,9780688067571,253,Jane  Powell, , ,3.67,12,3,William Morrow & Company,December 31st 1988,Hardcover,English,1751-534915.The_Girl_Next_Door_And_How_She_Grew.html
848,Writing the Lost Generation: Expatriate Autobiography and American Modernism,"Members of the Lost Generation, American writers and artists who lived in Paris during the 1920s, continue to occupy an important place in our literary history. Rebelling against increased commercialism and the ebb of cosmopolitan society in early twentieth-century America, they rejected the culture of what Ernest Hemingway called a place of “broad lawns and narrow minds.” Much of what we know about these iconic literary figures comes from their own published letters and essays, revealing how adroitly they developed their own reputations by controlling the reception of their work. Surprisingly the literary world has paid less attention to their autobiographies. In Writing the Lost Generation , Craig Monk unlocks a series of neglected texts while reinvigorating our reading of more familiar ones. Well-known autobiographies by Malcolm Cowley, Ernest Hemingway, and Gertrude Stein are joined here by works from a variety of lesser-known—but still important—expatriate American writers, including Sylvia Beach, Alfred Kreymborg, Samuel Putnam, and Harold Stearns. By bringing together the self-reflective works of the Lost Generation and probing the ways the writers portrayed themselves, Monk provides an exciting and comprehensive overview of modernist expatriates from the United States.",1587296896,9781587296895,230,Craig Monk, , ,4.50,2,2,University Of Iowa Press,September 1st 2008,Hardcover,English,1752-6050094-writing-the-lost-generation.html
849,The Autobiography of Jamgon Kongtrul: A Gem of Many Colors,"Jamgon Kongtrul Lodro Taye (1813-1899) was one of the most influential figures and prolific writers in the Tibetan Buddhist world. He was a founder and the single most important proponent of the nonsectarian movement that flourished in eastern Tibet and remains popular today. Two additional texts discuss his previous lives and recount Kongtrul's final days. The ""Autobiography of Jamgon Kongtrul ""is part of The Tsadra Foundation Series published by Snow Lion Publications.",1559391847,9781559391849,549,Jamgon Kongtrul Lodro Taye,Richard Barron, ,4.56,9,1,Snow Lion Publications,February 10th 2003,Hardcover,English,1753-1282696.The_Autobiography_of_Jamgon_Kongtrul.html
850,Diary of a Werewolf Steve (an unofficial Minecraft autobiography),"Steve just wants to live a nice, quiet life on his farm. But, when he starts to get lonely, he sets out to tame an ocelot or a wolf for a pet. And that is when things start to go horribly wrong with his plans for a nice, quiet life. When a mysterious stranger pays him a visit, things really start to get weird. This Diary of a Werewolf Steve is creepy and eerie. Read it if you dare!",, ,67,Dr. Block, , ,4.59,27,1,DrBlockBooks.com,April 16th 2015,Kindle Edition,English,1754-25376621-diary-of-a-werewolf-steve.html
851,The Snows of Yesteryear: Portraits for an Autobiography,The Snows Of Yesteryear is an uncompromising account of Gregor von Rezzori's aristocratic childhood in Romania in the days before World War II.,0394574427,9780394574424,290,Gregor von Rezzori, , ,4.11,210,26,Knopf,December 3rd 1989,Hardcover,English,1755-1072940.The_Snows_of_Yesteryear.html
852,My Girlhood: An Autobiography (Taslima Nasrin's autobiography #1),"Bangledeshi writer Taslima Nasrin's first major work in exile, My Girlhood is a sensitive retelling of her growing up as part of an extended family in Bangaledesh and erstwhile East Pakistan. Nasrin's writing, as she herself, remains rooted in her native land, springing from the very soil and air of Bangledesh, and it is this knowledge of her rootedness, perhaps, that impels her to look back to the first 13-14 years of her life in Mymensingh.",818670633X,9788186706336,324,Taslima Nasrin, , ,3.37,252,17, , , , ,1756-2618103-my-girlhood.html
853,Die Nigger Die!: A Political Autobiography of Jamil Abdullah al-Amin,"More than any other black leader, H. Rap Brown, chairman of the radical Black Power organization SNCC, came to symbolize the ideology of black revolution. Die Nigger Die!-which was first published in 1969, went through seven printings, and has long been unavailable-tells the story of the making of a revolutionary. But it is much more than a personal history-it is a call to arms, an urgent message to the black community to be the vanguard force in the struggle of oppressed people. Forthright, sardonic, and shocking, Die Nigger Die! is not only an illuminating and dynamic reading experience, but a vitally important document that is essential to understanding the upheavals of the late 1960s. University of Massachusetts professor Ekwueme Michael Thelwell has updated this edition, covering Brown's decades of harassment by law enforcement agencies, his extraordinary transformation into an important Muslim leader, and his sensational trial.",, ,196,H. Rap Brown - Jamil Al-Amin, , ,4.20,181,18,Chicago Review Press,April 1st 2002,Kindle Edition,English,1757-19055017-die-nigger-die.html
854,The Ragman's Son: An Autobiography. Kirk Douglas,"Born Issur Danielovitch Demsky, the son of an illiterate immigrant Russian-Jewish ragpicker and junkman, Kirk Douglas makes clear in this powerful, angry, and passionate book the ways in which his difficult childhood dominated his life as an actor, father, and man. 16 pages of photographs.",1849839026,9781849839020,510,Kirk Douglas, , ,3.91,381,35,Simon & Schuster,April 1st 2012,Paperback,English,1758-14906525-the-ragman-s-son.html
855,"Autobiography of Mark Twain: The Complete and Authoritative Edition, Volume 1, Part 2","This is Part 2 of a 2 part audiobook Cassette edition of Autobiography of Mark Twain: The Complete and Authoritative Edition, Volume 1. The year 2010 marks the one hundredth anniversary of Twain's death. In celebration of this important milestone, here, finally, is Mark Twain's uncensored autobiography, only now free to be published in its entirety. After dozens of false starts, at last Twain embarked on his final plan for telling the story of his life. His innovative notion--to ""talk only about the thing which interests you for the moment""--meant his thoughts could range freely. The strict instruction that many of these texts remain unpublished for one hundred years meant that when they came out, he would be ""dead, and unaware, and indifferent,"" and that he was therefore free to speak frankly. This volume presents Mark Twain's authentic and unsuppressed voice, brimming with humor, ideas, and opinions, and speaking clearly from the grave, as he intended.",1441778411,9781441778413,0,Mark Twain,Harriet E. Smith,Grover Gardner,3.92,13,4,Blackstone Audiobooks,November 15th 2010,Audio Cassette,English,1759-10740713-autobiography-of-mark-twain.html
856,"I, Claudius: from the Autobiography of Tiberius Claudius (Claudius #1)","Once a rather bookish young man with a limp and a stammer, a man who spent most of his time trying to stay away from the danger and risk of the line of ascension, Claudius seemed an unlikely candidate for Emperor. Yet, on the death of Caligula, Claudius finds himself next in line for the throne, and must stay alive as well as keep control. Drawing on the histories of Plutarch, Suetonius, and Gaius Cornelius Tacitus, noted historian and classicist Robert Graves tells the story of the much-maligned Emperor Claudius with both skill and compassion. Weaving important themes throughout about the nature of freedom and safety possible in a safety and a monarchy, Graves’ Claudius is both more effective and more tragic than history typically remembers him. A best-selling novel and one of Graves’ most successful, I, Claudius has been adapted to television, film, theatre, and audio. ABOUT THE AUTHOR Robert Graves (1895-1985) was an English novelist, poet, and translator of Classical Greek and Roman literature, and one of the most prominent English writers of the 20th century. He was an extremely prolific writer, who published more than 140 novels and collections of poetry. In addition to novels and poetry, he published groundbreaking analysis of Greek mythology, as well as memoir. Graves is best known for his historical novels, which include I, Claudius, Claudius, the God, The Golden Fleece, King Jesus, and Count Belisarius. Robert Graves served in combat in World War I and was gravely wounded at the Battle of the Somme. Following his recovery, he wrote several works of war poetry as well as a memoir of his time in combat, entitled Goodbye to All That. In 1934, Robert Graves was awarded the James Tait Black Memorial Prize for his historical novels dealing with the Roman Emperor Claudius.",, ,415,Robert Graves, , ,4.27,33608,"1,449",RosettaBooks,March 6th 2014,Kindle Edition,English,176-21523063-i-claudius.html
857,Dance of Reality: The Psychomagical Autobiography of the Creator of El Topo and The Holy Mountain,"A glimpse into the mind and life of one of the most creative and enigmatic visionaries of our time, filmmaker Alejandro Jodorowsky &bull; Retraces the spiritual and mystical path Jodorowsky has followed since childhood, vividly repainting events from the perspective of an unleashed imagination &bull; Explores the development of the author&rsquo;s psychomagic and metagenealogy practices via his realization that all problems are rooted in the family tree &bull; Includes photos from Jodorowsky&rsquo;s appearance at the 2013 Cannes Film Festival and from the film based on this book, which debuted at Cannes Retracing the spiritual and mystical path he has followed since childhood, Alejandro Jodorowsky re-creates the incredible adventure of his life as an artist, filmmaker, writer, and therapist--all stages on his quest to push back the boundaries of both imagination and reason. Not a traditional autobiography composed of a chronological recounting of memories, Dance of Reality repaints events from Jodorowsky&rsquo;s life from the perspective of an unleashed imagination. Like the psychomagic and metagenealogy therapies he created, this autobiography exposes the mythic models and family templates upon which the events of everyday life are founded. It reveals the development of Jodorowsky&rsquo;s realization that all problems are rooted in the family tree and explains, through vivid examples from his own life, particularly interactions with his father and mother, how the individual&rsquo;s road to true fulfillment means casting off the phantoms projected by parents on their children. Dance of Reality is autobiography as an act of healing. Through the retelling of his own life, the author shows we do not start off with our own personalities, they are given to us by one or more members of our family tree. To be born into a family, Jodorowsky says, is to be possessed. To peer back into our past is equivalent to digging into our own souls. If we can dig deep enough, beyond familial projections, we shall find an inner light--a light that can help us through life&rsquo;s most difficult tests. Offering a glimpse into the mind and life of one of the most creative and enigmatic visionaries of our time, Dance of Reality is the book upon which Jodorowsky&rsquo;s critically acclaimed 2013 Cannes Film Festival film of the same name was based.",1620552817,9781620552810,424,Alejandro Jodorowsky, , ,4.15,537,35,Park Street Press,June 2nd 2014,Paperback, ,1760-20736544-dance-of-reality.html
858,With a Quiet Heart: An Autobiography, ,0837174708,9780837174709,311,Eva Le Gallienne, , ,0.00,0,0,Greenwood Press,September 25th 1974,Hardcover,English,1761-700471.With_a_Quiet_Heart.html
859,The Magic of Perseverance: The Autobiography of David, ,1920287701,9781920287702,686,David Magang, , ,5.00,2,0,Centre for Advanced Studies of African Society,January 1st 2008,Hardcover,English,1762-15008502-the-magic-of-perseverance.html
