b-1	Stephen Reynolds
b-1121	Alain Berliner
b-1122	Roland Emmerich
b-1123	Mimi Leder
b-1124	Wolfgang Petersen
b-1125	Alfonso Arau
b-1126	David Twohy
b-1127	Ed Harris
b-1128	Michael Addis
b-1129	Carlos vila
b-1130	John Leekley
b-1131	Taylor Hackford
b-1132	Robert Lee King
b-1133	Philip Kaufman
b-1134	Brian Robbins
b-1135	Antony Hoffman
b-1136	John Frankenheimer
b-1137	Boaz Yakin
b-1138	Howard Deutch
b-1139	Darren Aronofsky
b-1140	Bonnie Hunt
b-1141	Eric Bergeron
b-1142	Todd Phillips
b-1143	Andrzej Bartkowiak
b-1144	William Friedkin
b-1145	Buster Keaton
b-1146	Keenen Ivory Wayans
b-1147	Wes Craven
b-1148	Scott Alexander
b-1149	Jeff Byrd
b-1150	Jonathan Glazer
b-1151	E. Elias Merhige
b-1152	John Singleton
b-1153	Tom Dey
b-1154	Rob Cohen
b-1155	Woody Allen
b-1156	Kat Slater
b-1157	Guy Ritchie
b-1158	Chris Koch
b-1159	Maggie Greenwald
b-1160	Josh Aronson
b-1161	Clint Eastwood
b-1162	Craig Mazin
b-1163	Robert Greenwald
b-1164	Jack Sholder
b-1165	Jenniphr Goodman
b-1166	Lance W. Dreesen
b-1167	Rodrigo Garca
b-1168	Roger Donaldson
b-1169	Joel Schumacher
b-1170	Jun Falkenstein
b-1171	Mike Figgis
b-1172	Steven Soderbergh
b-1173	Serge Rodnunsky
b-1174	Robert Adetuyi
b-1175	Jonathan Mostow
b-1176	Ross Whitaker
b-1177	Stephen Hopkins
b-1178	Philip Haas
b-1179	John Ottman
b-1180	Martin Campbell
b-1181	M. Night Shyamalan
b-1182	Keith Gordon
b-1183	Joe Charbanic
b-1184	Christopher McQuarrie
b-1185	Robert Zemeckis
b-1186	Mike Nichols
b-1187	Nancy Meyers
b-1188	David Raynr
b-1189	Matt Williams
b-1190	Marek Kanievska
b-1191	Peter M. Cohen
b-1192	Jonathan Lynn
b-1193	Fina Torres
b-1194	Curtis Hanson
b-1195	Gavin Hood
b-1196	James Gray
b-1197	Kenneth Lonergan
b-1198	John Herzfeld
b-1199	Demian Lichtenstein
b-1200	Steven Spielberg
b-1201	Charles Shyer
b-1202	Lucie Borleteau
b-1203	Julie Davis
b-1204	Lee Tamahori
b-1205	Anne De Salvo
b-1206	Joe Roth
b-1207	Cory McAbee
b-1208	Les Mayfield
b-1209	James B. Rogers (II)
b-1210	va Grdos
b-1211	Luis Mandoki
b-1212	Luke Greenfield
b-1213	Jennifer Jason Leigh
b-1214	Peter Howitt
b-1215	John Singleton
b-1216	Barry Levinson
b-1217	Jonathan Parker
b-1218	Ron Howard
b-1219	John Moore
b-1220	Henry Bean
b-1221	Arliss Howard
b-1222	Ridley Scott
b-1223	Gil Junger
b-1224	Ted Demme
b-1225	S. Craig Zahler
b-1226	Gary Hardwick
b-1227	Blair Hayes (II)
b-1228	Gregor Jordan
b-1229	Patrick Stettner
b-1230	Larry Guterman
b-1231	Wayne Wang
b-1232	Rob Pritts
b-1233	Roman Coppola
b-1234	John Stockwell
b-1235	Simon Wincer
b-1236	Woody Allen
b-1237	Scott McGehee
b-1238	Nick Castle Jr.
b-1239	Ask Hasselbalch
b-1240	Harold Becker
b-1241	Richard Kelly (II)
b-1242	George Gallo
b-1243	Chris Weitz
b-1244	Steve Carr
b-1245	Renny Harlin
b-1246	Craig Clyde
b-1247	Jean-Jacques Annaud
b-1248	Danny R. Carrales
b-1249	Franck Ribire
b-1250	Andrzej Bartkowiak
b-1251	Rob Cohen
b-1252	Henry Jaglom
b-1253	Adina Porter
b-1254	J.S. Cardone
b-1255	Bill Paxton
b-1256	Allen Hughes
b-1257	Tom Green (III)
b-1258	Tommy O'Haver
b-1259	Terry Zwigoff
b-1260	Daniel Sackheim
b-1261	Vondie Curtis-Hall
b-1262	Jacob Tierney
b-1263	Robert Altman
b-1264	Tim Blake Nelson
b-1265	Hans Zimmer
b-1266	Brian Robbins
b-1267	James Toback
b-1268	Mark Waters
b-1269	David Mirkin
b-1270	Scott Hicks
b-1271	John Cameron Mitchell
b-1272	Sarik Andreasyan
b-1273	Jesse Dylan
b-1274	George Huang
b-1275	Michel Gondry
b-1276	Jessie Nelson
b-1277	Todd Field
b-1278	Kevin Smith
b-1279	Victor Salva
b-1280	John Davis
b-1281	Frank Whaley
b-1282	Dennie Gordon
b-1283	John Pasquin
b-1284	Harry Elfont
b-1285	John Dahl
b-1286	Joe Johnston
b-1287	Jean-Marie Poir
b-1288	Iain Softley
b-1289	James Mangold
b-1290	Dana Lustig
b-1291	Doug McHenry
b-1292	Chris Nahon
b-1293	Charles Herman-Wurmfeld
b-1294	Brain Koppleman
b-1295	Adrian Noble
b-1296	Jan de Bont
b-1297	Rod Lurie
b-1298	Richard Benjamin
b-1299	Robert Luketic
b-1300	Irwin Winkler
b-1301	Hector Barron
b-1302	Larry Blamire
b-1303	Nicole Holofcener
b-1304	Frank Darabont
b-1305	Gore Verbinski
b-1306	Henry Selick
b-1307	Mira Nair
b-1308	John Huston
b-1309	David Lynch
b-1310	Stephen Sommers
b-1311	Jean-Xavier de Lestrade
b-1312	Peter Hyams
b-1313	Tony Zierra
b-1314	Kirk Jones
b-1315	Christine Lahti
b-1316	Joel Gallen
b-1317	David Atkins
b-1318	Steven Soderbergh
b-1319	Eric Bross
b-1320	James Wong
b-1321	Michael Cristofer
b-1322	Bill Murray
b-1323	Alejandro Amenbar
b-1324	Brendan Malloy
b-1325	Michael Bay
b-1326	Michael Rymer
b-1327	Lucio Fulci
b-1328	Tim Burton
b-1329	Sean Penn
b-1330	Louis C.K.
b-1331	Garry Marshall
b-1332	Jerry Zucker
b-1333	Chuck Sheetz
b-1334	Penny Marshall
b-1335	Stephen Herek
b-1336	Wes Anderson
b-1337	Brett Ratner
b-1338	Rose Troche
b-1339	Thomas Carter
b-1340	Dennis Dugan
b-1341	Keenen Ivory Wayans
b-1342	Frank Oz
b-1343	Doug Pray
b-1344	John Whitesell
b-1345	Peter Chelsom
b-1346	Brad Anderson
b-1347	Bobby Farley
b-1348	Edward L. Cahn
b-1349	Lasse Hallstrom
b-1350	Conrad Vernon
b-1351	Richard Benjamin
b-1352	Edward Burns
b-1353	Tony Goldwyn
b-1354	Stephen Carpenter
b-1355	Walter Hill
b-1356	Richard Kelly
b-1357	Tony Scott
b-1358	Robert Rodriguez
b-1359	Todd Solondz
b-1360	Francine McDougall
b-1361	Mike Tollin
b-1362	Jay Chandrasekhar
b-1363	Pat O'Connor
b-1364	Dominic Sena
b-1365	John Boorman
b-1366	Mark Neveldine
b-1367	Jill Sprecher
b-1368	Steve Beck
b-1369	David L. Cunningham
b-1370	Gregory Poirer
b-1371	Mara Ripoll
b-1372	Boris Damast
b-1373	Antoine Fuqua
b-1374	Mark Brown
b-1375	Jon Avnet
b-1376	Jamie Blanks
b-1377	Gary Winick
b-1378	Peter Segal
b-1379	Brett Ratner
b-1380	Charles S. Dutton
b-1381	Kevin Allen
b-1382	John Lee Hancock
b-1383	Oliver Stone
b-1384	Charles Shyer
b-1385	Colin Strause
b-1386	John Hamburg
b-1387	Jordon Roberts
b-1388	Frank Coraci
b-1389	Niels Mueller
b-1390	Martin Scorsese
b-1391	Richard Linklater
b-1392	Istvn Szab
b-1393	Jacob Kornbluth
b-1394	Kevin Spacey
b-1395	George Armitage
b-1396	Stephen Cone
b-1397	David S. Goyer
b-1398	Ricky Schroder
b-1399	La Pool
b-1400	Alan Brown
b-1401	Jean-Christophe 'Pitof' Comar
b-1402	Zana Briski
b-1403	Paul Greengrass
b-1404	Rodney Evans
b-1405	Eric Bress
b-1406	Bart Freundlich
b-1407	David R. Ellis
b-1408	Andy Cadiff
b-1409	Joe Roth
b-1410	Alexa Davalos
b-1411	Mark Rosman
b-1412	Pieter Jan Brugge
b-1413	Billy Senese
b-1414	Jay Chandrasekhar
b-1415	Michael Mann
b-1416	Sara Sugarman
b-1417	Michael Lembeck
b-1418	Jehane Noujaim
b-1419	Lance Rivera
b-1420	David Dobkin
b-1422	Roy Andersson
b-1423	Zack Snyder
b-1424	Roland Emmerich
b-1425	Sergio Arau
b-1427	Matthew Leutwyler
b-1428	Alex Turner (II)
b-1429	Joe Swanberg
b-1430	Guy Ferland
b-1431	John Waters
b-1432	Tod Williams
b-1433	Zola Maseko
b-1434	Tommy O'Haver
b-1435	Barry Levinson
b-1436	Michel Gondry
b-1437	Alec Berg
b-1438	Patrick Paulson
b-1439	Michael Moore
b-1440	Joel Zwick
b-1441	Marc Forster
b-1442	Omar Naim
b-1443	Forest Whitaker
b-1444	John Moore
b-1445	Joseph Ruben
b-1446	Ira Sachs
b-1447	Peter Berg
b-1448	Ian Holm
b-1449	Luke Greenfield
b-1450	Nick Hamm
b-1451	Ryuhei Kitamura
b-1452	Sam Raimi
b-1453	Leslie Small
b-1454	Alfonso Cuarn
b-1455	Frederick Wiseman
b-1456	Guillermo del Toro
b-1457	Victor Di Mello
b-1458	Joe Johnston
b-1459	Robert Harmon
b-1460	Asia Vieira
b-1461	John Sanford (II)
b-1462	Terry George
b-1463	Bill Clinton
b-1464	David O. Russell
b-1465	Alex Proyas
b-1466	Dan Harris (II)
b-1467	Brad Bird
b-1468	Paul Weitz
b-1469	Jared Cohn
b-1470	Chad Friedrichs
b-1471	Kevin Smith
b-1472	Christopher Erskin
b-1473	Lodge H. Kerrigan
b-1474	Quentin Tarantino
b-1475	Antoine Fuqua
b-1476	Bill Condon
b-1477	Atom Egoyan
b-1478	Jay Russell
b-1479	Joel Coen
b-1480	Vilsoni Hereniko
b-1481	Jeff Nathanson
b-1482	Stephen Hopkins
b-1483	Wes Anderson
b-1484	Nick Hurran
b-1485	Shainee Gabel
b-1486	Tony Scott
b-1487	Jonathan Demme
b-1488	Joshua Marston
b-1489	Miranda July
b-1490	Jacob Aaron Estes
b-1491	Mark Waters
b-1492	Jay Roach
b-1494	Woody Allen
b-1495	Clint Eastwood
b-1497	Renny Harlin
b-1498	Patricia Riggen
b-1499	Mick Davis
b-1500	Jonathan Nossiter
b-1501	Walter Salles
b-1502	Doug Liman
b-1503	Gregg Araki
b-1504	Jared Hess
b-1505	Jon Turtletaub
b-1506	Ernest R. Dickerson
b-1507	Dennie Gordon
b-1508	Chazz Palminteri
b-1509	Nick Cassavetes
b-1510	Greg Harrison
b-1511	Eric Bresler
b-1512	David Silverman
b-1513	Todd Solondz
b-1514	Paul Abascal
b-1515	Shane Carruth
b-1516	Ferdinand Zecca
b-1517	Brian Robbins
b-1518	Joel Schumacher
b-1519	Robert Zemeckis
b-1520	Catherine Cyran
b-1521	Mary Pat Kelly
b-1522	Jonathan Hensleigh
b-1523	Sean Patrick Mcnamara
b-1524	Garry Marshall
b-1525	Taylor Hackford
b-1526	Stacy Peralta
b-1527	Mick Garris
b-1528	Thomas Carter
b-1529	Darren Bousman
b-1530	Raja Gosnell
b-1531	David Koepp
b-1532	Don Mancini
b-1533	Peter Chelsom
b-1534	Angelina Jolie
b-1535	Spike Lee
b-1536	Conrad Vernon
b-1537	Alexander Payne
b-1538	John Sayles
b-1539	Kerry Conran
b-1540	Joe Nussbaum
b-1541	Jessy Terrero
b-1542	James L. Brooks
b-1543	David Mamet
b-1544	Jessica Sharzer
b-1545	Marc Webb
b-1546	Sherm Cohen
b-1547	Richard Eyre
b-1548	Todd Phillips
b-1549	Reverge Anselmo
b-1550	Frank Oz
b-1551	Richard Day
b-1552	Morgan Spurlock
b-1553	Bob Clark (III)
b-1554	Mike Mitchell (VI)
b-1555	E. Elias Merhige
b-1556	D.J. Caruso
b-1557	Jafar Panahi
b-1558	Matt Stone
b-1559	Steven Spielberg
b-1560	Joseph Kahn
b-1561	Wolfgang Petersen
b-1563	David Gordon Green
b-1564	Stephen Sommers
b-1565	Mira Nair
b-1566	Jean-Pierre Jeunet
b-1567	M. Night Shyamalan
b-1568	Luis Mandoki
b-1570	Kevin Bray
b-1571	Philippe Martinez
b-1572	Yaron Zilberman
b-1573	Donald Petrie
b-1574	James Toback
b-1575	Keenen Ivory Wayans
b-1576	Howard Deutch
b-1577	Paul McGuigan
b-1578	Robert Luketic
b-1579	Steven Brill
b-1580	Michael Schultz
b-1581	Nicole Kassell
b-1582	Russell Holt
b-1583	Adam Del Deo
b-1584	Chris Stokes
b-1585	Judd Apatow
b-1586	Doug Block
b-1587	James Cameron
b-1588	Michael Showalter
b-1589	Uwe Boll
b-1590	Andrew Douglas
b-1591	Brian Levant
b-1592	Paul Provenza
b-1593	Jean-Franois Richet
b-1594	Richard Linklater
b-1595	Rebecca Miller
b-1596	Christopher Nolan
b-1597	F. Gary Gray
b-1598	Bille Woodruff
b-1599	Scott McGehee
b-1600	Nora Ephron
b-1601	Al Corley
b-1602	Stephen T. Kay
b-1603	Daniel Junge
b-1604	Ang Lee
b-1605	Jim Jarmusch
b-1606	Terry Gilliam
b-1607	Bennett Miller
b-1608	Lasse Hallstrom
b-1609	Bruce Hunt
b-1610	Tim Burton
b-1611	Adam Shankman
b-1612	Mark Dindal
b-1613	Arie Posin
b-1614	Ron Howard
b-1615	Thomas Carter
b-1616	Francis Lawrence (II)
b-1617	Mike Johnson
b-1618	Kelsey Howard
b-1620	Gore Verbinski
b-1621	Katrina Holden Bronson
b-1622	Walter Salles
b-1623	Michael Bigelow
b-1624	Addison Timlin
b-1625	Craig Clyde
b-1626	John Mallory Asher
b-1627	Darren Grant
b-1628	Tony Scott
b-1629	Eddie Mullins
b-1630	Jesse Salmeron
b-1631	Jay Chandrasekhar
b-1632	Carroll Ballard
b-1633	Craig Lucas
b-1634	Rob Bowman
b-1635	Cameron Crowe
b-1636	Liev Schreiber
b-1637	Scott Derrickson
b-1638	Tom Bezucha
b-1639	Josh Trank
b-1640	Jeff Zimbalist
b-1641	Bobby Farrelly
b-1642	Kemp Curly
b-1643	Robert Schwentke
b-1644	Rupert Wainwright
b-1645	John Singleton
b-1646	Barry Sonnenfeld
b-1647	Jim Sheridan
b-1648	Bill Bellamy
b-1649	Kamal
b-1650	Rob Hardy
b-1651	John Dahl
b-1652	Bill Paxton
b-1653	Lexi Alexander
b-1654	Werner Herzog
b-1655	Ashton Kutcher
b-1656	Don Roos
b-1657	Mike Newell
b-1658	Charles Matthau
b-1659	Angela Robinson (III)
b-1660	John Polson
b-1661	David Cronenberg
b-1662	Andrew Tennant
b-1663	John Schultz
b-1664	Anne Hathaway
b-1665	Florent Emilio Siri
b-1666	Eli Roth
b-1667	David Duchovny
b-1668	Jaume Collet-Serra
b-1669	Craig Brewer
b-1670	Harold Ramis
b-1671	Tim Fywell
b-1672	Curtis Hanson
b-1673	Ron Underwood
b-1674	Fenton Bailey
b-1675	Andrew Lauer
b-1676	Sydney Pollack
b-1677	John Stockwell
b-1678	Michael Bay
b-1679	John Maybury
b-1680	Sam Mendes
b-1681	Phil Morrison
b-1682	Roger Kumble
b-1683	Mark Waters
b-1684	Jesse Dylan
b-1685	Josh Stolberg
b-1686	Peter Jackson
b-1687	Ridley Scott
b-1688	Ray Brady
b-1689	George A. Romero
b-1690	Charles Sturridge
b-1691	Gus Van Sant
b-1692	Martin Campbell
b-1693	Peter Segal
b-1694	Andrew Niccol
b-1695	Catherine Hardwicke
b-1696	Andy Garcia
b-1697	Nigel Cole
b-1698	Marilyn Agrelo
b-1699	Conrad Vernon
b-1700	Guy Ritchie
b-1701	Stephen Herek
b-1702	Dave McKean
b-1703	Bob Yari
b-1704	Woody Allen
b-1705	Rob Marshall
b-1706	George Bamber
b-1707	Doug Liman
b-1708	Steven Spielberg
b-1709	Henry Alex Rubin
b-1710	Gary David Goldberg
b-1711	Kirk Jones
b-1712	Sean Anders
b-1713	Terrence Malick
b-1714	Joshua Michael Stern
b-1715	Greg Whiteley
b-1716	Rodrigo Garca
b-1717	Martin Scorsese
b-1718	Niki Caro
b-1719	Cameron Watson
b-1720	Adam Shankman
b-1721	Mark Rosman
b-1722	Richard Gabai
b-1723	Marcos Siega
b-1724	Ben Younger
b-1725	Mel Brooks
b-1726	James D. Stern
b-1727	Frederik Du Chau
b-1728	Steve Carr
b-1729	Wes Craven
b-1730	Chris Columbus
b-1731	Hideo Nakata
b-1732	Barry Blaustein
b-1733	David LaChapelle
b-1734	Mike Slee
b-1735	Malcolm D. Lee
b-1736	Rob Reiner
b-1737	Breck Eisner
b-1738	Darren Bousman
b-1739	Joss Whedon
b-1740	Lee Daniels
b-1741	Anand Tucker
b-1742	Robert Rodriguez
b-1743	Ken Kwapis
b-1744	Arthur Allan Seidelman
b-1745	Iain Softley
b-1746	Mike Mitchell
b-1747	Adam Salky
b-1748	Lawrence Guterman
b-1749	Ben Kingsley
b-1750	Noah Baumbach
b-1751	Marc Forster
b-1752	Rob Cohen
b-1753	Marshall Curry
b-1754	Steve Boyum
b-1755	Stephen Gaghan
b-1756	Raymond De Felitta
b-1757	Tommy Lee Jones
b-1758	Glenn Chaika
b-1759	Mike Mills (II)
b-1760	Craig Ross Jr.
b-1761	Duncan Tucker
b-1762	Louis Leterrier
b-1763	D.J. Caruso
b-1764	Marcos Siega
b-1765	Meiert Avis
b-1766	Lasse Hallstrom
b-1767	Mike Binder
b-1768	Jim Gillespie
b-1769	Igor Drljaca
b-1770	James Mangold
b-1771	Steven Spielberg
b-1772	Joseph Castelo
b-1773	Phedon Papamichael
b-1774	David Dobkin
b-1775	Clare Kilner
b-1776	Atom Egoyan
b-1777	Geoffrey Sax
b-1778	Jon Favreau
b-1779	Eugene Jarecki
b-1780	Andrew Haigh
b-1781	Brad Silberling
b-1782	Bobby Moresco
b-1783	Richard Donner
b-1784	Damon O'Steen
b-1785	Franklin Guerrero Jr
b-1786	Ryan Schifrin
b-1787	Steve Pink
b-1788	Roland Emmerich
b-1789	Alexandra Lipsitz
b-1790	Doug Atchison
b-1791	Nick Doob
b-1792	Eric Nicholas
b-1793	Michael Apted
b-1794	Ian Inaba
b-1795	Paul Weitz
b-1796	Paul Rachman
b-1797	Mike Ott
b-1798	Ric Burns
b-1799	Justin Lin
b-1800	Todd Stephens
b-1801	John A. Davis
b-1802	Mel Gibson
b-1803	Elizabeth Allen (II)
b-1804	Matt Tauber
b-1805	Terry Zwigoff
b-1806	Kenneth Branagh
b-1807	Kris Chin
b-1808	Darjeeling Bouton
b-1809	Michael Polish
b-1810	Chris Robinson (IV)
b-1811	Steven C. Miller
b-1812	James Felix McKenney
b-1813	Alejandro Gonzlez Irritu
b-1814	Jim Ballantine
b-1815	Steve Oedekerk
b-1816	Michael Caton-Jones
b-1817	Jay Chandrasekhar
b-1818	Roberto Benigni
b-1819	Dennis Dugan
b-1820	Rachel Libert
b-1821	Scott Lew
b-1822	Ishai Setton
b-1823	Lance W. Dreesen
b-1824	Dave Boyle
b-1825	Glen Morgan
b-1826	Brian DePalma
b-1827	Russell Hopton
b-1828	James Keach
b-1829	Edward Zwick
b-1830	Christiane Cegavske
b-1831	Richard Valentine
b-1832	Emilio Estevez
b-1833	Gregory Nava
b-1834	Guy Maddin
b-1835	Anthony Minghella
b-1836	Paul Marcus
b-1837	Nick Mastandrea
b-1838	Eric Steel
b-1839	Steven Goldmann
b-1841	Hanh Nguyen
b-1842	Jon Watts
b-1843	Martin Campbell
b-1844	Phillip Noyce
b-1845	Mike Akel
b-1846	Alfonso Cuarn
b-1847	Kurt Hale
b-1848	Jeff Renfroe
b-1849	Kevin Smith
b-1850	Frank Coraci
b-1851	Billy Corben
b-1852	Stewart Wade
b-1853	Jean-Claude La Marre
b-1854	Joey Lauren Adams
b-1855	Bruce Beresford
b-1856	Agnieszka Holland
b-1857	Renny Harlin
b-1858	Mark Neveldine
b-1859	Preston A. Whitmore II
b-1860	James Jandak Wood
b-1861	Phil Weinstein
b-1862	Russell P. Marleau
b-1863	Ron Howard
b-1864	Aaron Katz
b-1865	Ariel Vromen
b-1866	Andy Dick
b-1867	Ray Gower
b-1868	Craig Singer
b-1869	Finn Taylor
b-1870	Peter Segal
b-1872	Jay Anania
b-1873	Karen Moncrieff
b-1874	Emimmo Salvi
b-1875	John Whitesell
b-1876	Scott Derrickson
b-1877	Martin Scorsese
b-1878	Jeff Feuerzeig
b-1879	David Frankel
b-1880	Katherine Dieckmann
b-1881	Felix Herngren
b-1882	Scott Caan
b-1883	Bill Condon
b-1884	Jason Matzner
b-1885	Tim Sullivan
b-1886	Carlos Portugal
b-1887	Greg Coolidge
b-1888	Julia Bacha
b-1889	Andy Cheng
b-1890	Jim Hanon (II)
b-1891	Bruce Hendricks
b-1892	Stefan Fangmeier
b-1893	Charles Band
b-1894	Rick Stevenson
b-1895	Alex Kendrick
b-1896	George Hickenlooper
b-1897	Tom Dey
b-1898	Richard Linklater
b-1899	John Carter
b-1900	Hal Hartley
b-1901	Peter Weir
b-1902	Theo Avgerinos
b-1903	Morgan
b-1904	Sidney Lumet
b-1905	Richard Loncraine
b-1906	Clint Eastwood
b-1907	Michael Mayer (VI)
b-1908	Randy Olson
b-1909	Kevin Palys
b-1910	David Bowers
b-1911	Tony Bill
b-1912	Christopher Guest
b-1913	BJ Davis
b-1914	Darren Aronofsky
b-1915	Joe Roth
b-1916	Christopher Nielsen
b-1917	Nicole Holofcener
b-1918	David Munro
b-1919	John Singleton
b-1920	Michael Hoffman
b-1921	Timothy A. Chey
b-1922	Julian Temple
b-1923	James Garner
b-1924	Christopher Dillon Quinn
b-1925	Steven Soderbergh
b-1926	Robert De Niro
b-1927	Ridley Scott
b-1928	Phil Joanou
b-1929	Edward Burns
b-1930	Takashi Shimizu
b-1931	Andrew Davis
b-1932	Todd Rohal
b-1933	Dito Montiel
b-1934	Ryan Fleck
b-1935	Mitchell Altieri
b-1936	George Miller
b-1937	Sheldon Lettich
b-1938	David Ayer
b-1939	Julian Goldberger
b-1940	Archibald Flancranstin
b-1941	Angelo J. Guglielmo Jr.
b-1942	Ward Serrill
b-1943	Alexandre Aja
b-1944	Nancy Meyers
b-1945	Allen Coulter
b-1946	Claudio Faeh
b-1947	Irwin Winkler
b-1948	Wil Shriner
b-1949	Ethan Hawke
b-1950	Bob Dolman
b-1951	Glen Pitre
b-1952	Jeff Garlin
b-1953	Mike Judge
b-1954	Bryan Barber
b-1955	Bob Yari
b-1956	Davis Guggenheim
b-1957	Dogulas McGrath
b-1958	David Lynch
b-1959	Spike Lee
b-1960	Scott Dacko
b-1961	Ericson Core
b-1962	Jim Finn
b-1963	James Longley
b-1964	John Eyres
b-1965	Jeff Tremaine
b-1966	Mary Jordan
b-1967	Heidi Ewing
b-1968	Randall Rubin
b-1969	Betty Thomas
b-1970	Donald Petrie
b-1971	David O'Malley
b-1972	Joel Bender
b-1973	Scott Marshall
b-1974	John Krokidas
b-1975	AJ Schnack
b-1976	M. Night Shyamalan
b-1977	Alejandro Agresti
b-1978	Robert Edwards
b-1979	Tony Goldwyn
b-1980	Wayne Wang
b-1981	Larry Fessenden
b-1982	Clint Eastwood
b-1983	Danielle Agnello
b-1984	Bethany Ashton Wolf
b-1985	Todd Field
b-1986	Dave Sheridan
b-1987	Jonathan Dayton
b-1988	John Roecker
b-1989	Len Wiseman
b-1990	George Gallo
b-1991	Liza Azuelos
b-1992	Todd Robinson
b-1993	Pat Holden
b-1994	Chris Fuller
b-1995	Katherine Brooks
b-1996	Paul McGuigan
b-1997	Gregory Hatanaka
b-1998	Mike Binder
b-1999	Barry Levinson
b-2000	Sofia Coppola
b-2001	John Bonito
b-2002	Martha Coolidge
b-2003	James D. Scurlock
b-2004	Michael Mann
b-2005	Jonathan English
b-2006	Chris Noonan
b-2007	Justin Swibel
b-2008	Gil Kenan
b-2009	Christopher R. Mihm
b-2010	Roger Ingraham
b-2011	Iren Koster
b-2012	Laura Poitras
b-2013	J.J. Abrams
b-2014	Ivan Reitman
b-2015	Jared Hess
b-2016	Catherine Hardwicke
b-2017	Shawn Levy
b-2018	Patrick Stettner
b-2019	George A. Romero
b-2020	Amy Talkington
b-2021	Rolfe Kanefsky
b-2022	Kim Hak-soon
b-2023	Elie Chouraqui
b-2024	Sufyan Omeish & Abdallah Omeish
b-2025	Billy Kent
b-2026	Kelly Reichardt
b-2027	John Moore
b-2028	Michael O. Sajbel
b-2030	Roger Allers
b-2031	Tim Johnson
b-2032	John Curran
b-2033	Tomer Heymann
b-2034	Brandon Kimber
b-2035	Victor Salva
b-2036	Mark Palansky
b-2037	Nnegest Likk
b-2038	David Silverman
b-2039	Wolfgang Petersen
b-2040	Pete Chatmon
b-2041	Robert Altman
b-2042	Christopher Nolan
b-2043	Mekhi Phifer
b-2044	Jim Sonzero
b-2045	Gabriele Muccino
b-2046	Gerald Nott
b-2047	Will Vzquez
b-2048	Eve Sussman
b-2049	Greg Glienna
b-2050	Asif Kapadia
b-2051	Chris Gorak
b-2052	Sylvester Stallone
b-2053	Valentine (XV)
b-2054	Michael Hurst
b-2055	Mark McNabb
b-2056	Wayne Kramer
b-2057	Ryan Murphy
b-2058	Barry Sonnenfeld
b-2059	Peter Miller
b-2060	Tim Skousen
b-2061	Sandy Tung
b-2062	Darren Lynn Bousman
b-2063	Richard Linklater
b-2064	David Zucker
b-2065	Todd Phillips
b-2066	Woody Allen
b-2067	Stephen Kijack
b-2068	Steve Taylor
b-2069	Zach C. Gray
b-2070	Gregory Dark
b-2071	Clark Johnson
b-2072	Brian Robbins
b-2074	Laurie Collyer
b-2075	John Cameron Mitchell
b-2076	Cess Silvera
b-2077	Christophe Gans
b-2078	William Dear
b-2079	Bobcat Goldthwait
b-2080	James Gunn
b-2081	Malcolm Ingram
b-2082	David R. Ellis
b-2083	Christopher J. Scott
b-2084	Steven Ascher
b-2085	Sanaa Hamri
b-2086	Jeff Nichols
b-2087	Greg Kiefer
b-2088	Tom Vaughan
b-2089	William Brent Bell
b-2090	Anne Fletcher
b-2091	Jessica Bendinger
b-2092	Marc Forster
b-2093	Geoffrey Sax
b-2094	Philip Chidel
b-2095	Pierre Rehov
b-2096	Bryan Singer
b-2097	Daniel Hess
b-2098	Liz Friedlander
b-2099	Liam Lynch
b-2100	Jason Reitman
b-2101	Kirby Dick
b-2102	Jerome Dolbert
b-2103	Jeremy Stanford
b-2104	Kevin Reynolds
b-2105	Bart Freundlich
b-2106	Alicia Scherson
b-2107	Steve Stockman
b-2108	Kurt Wimmer
b-2109	Paul Feig
b-2110	Len Wiseman
b-2111	Chris Chan Lee
b-2112	Jason Richard Miller
b-2113	Paul Greengrass
b-2114	Jason Todd Ipson
b-2115	James McTeigue
b-2116	Rajnesh Domalpalli
b-2117	Todd Verow
b-2118	Stan Lathan
b-2119	Deborah Scranton
b-2120	Joseph McGinty Nichol
b-2121	Simon West
b-2122	Dan Lohaus
b-2123	Chris Paine
b-2124	J.S. Cardone
b-2125	Neil LaBute
b-2126	Dominic Scott Kay
b-2127	Lucky McKee
b-2128	Patrick Creadon
b-2129	Oliver Stone
b-2130	Carl Lauten
b-2131	Peter Hewitt
b-2132	Hunter Weeks
b-2133	Anders Morgenthaler
b-2134	Mikael Hfstrm
b-2135	David Slade
b-2136	Zack Snyder
b-2137	Julie Taymor
b-2138	Alfredo De Villa
b-2139	Kenn Scott
b-2140	Allan Harmon
b-2141	Eric Amadio
b-2142	Roland West
b-2143	Sandy Tung
b-2144	Colin Strause
b-2145	Franois Dompierre
b-2146	Walt Becker
b-2147	Tommy O'Haver
b-2148	Ridley Scott
b-2149	Desmond Nakano
b-2150	Lorraine Senna
b-2151	Henry Miller
b-2152	Matt Maiellaro
b-2153	Adam Ravetch
b-2154	Steve Carr
b-2155	Andrew Dominik
b-2156	Kirsten Sheridan
b-2157	J.J. Abrams
b-2158	Robert Ben Garant
b-2159	Michael Lehmann
b-2160	Maclain Nelson
b-2161	Leah Meyerhoff
b-2162	Robert Zemeckis
b-2163	Beth Murphy
